"country_txt","n.attacks","n.kill","n.attacks.post11","n.kill.post11"
"Afghanistan",5412,13878,5412,13878
"Albania",2,0,2,0
"Algeria",668,1182,668,1182
"Angola",3,6,3,6
"Argentina",11,0,11,0
"Armenia",3,1,3,1
"Australia",8,3,8,3
"Austria",14,1,14,1
"Azerbaijan",5,6,5,6
"Bahamas",1,0,1,0
"Bahrain",83,8,83,8
"Bangladesh",268,89,268,89
"Belarus",8,13,8,13
"Belgium",3,1,3,1
"Belize",1,0,1,0
"Benin",1,0,1,0
"Bhutan",5,9,5,9
"Bolivia",7,0,7,0
"Bosnia-Herzegovina",11,4,11,4
"Brazil",7,4,7,4
"Bulgaria",9,8,9,8
"Burkina Faso",1,1,1,1
"Burundi",58,124,58,124
"Cambodia",4,1,4,1
"Cameroon",12,50,12,50
"Canada",19,1,19,1
"Central African Republic",47,239,47,239
"Chad",30,411,30,411
"Chile",38,2,38,2
"China",49,323,49,323
"Colombia",836,736,836,736
"Congo (Brazzaville)",1,2,1,2
"Congo (Kinshasa)",164,1439,164,1439
"Corsica",113,0,113,0
"Croatia",5,0,5,0
"Cuba",1,1,1,1
"Cyprus",11,0,11,0
"Czech Republic",5,1,5,1
"Denmark",3,0,3,0
"Dominican Republic",1,0,1,0
"Ecuador",7,1,7,1
"Egypt",392,335,392,335
"Equatorial Guinea",1,1,1,1
"Eritrea",7,40,7,40
"Estonia",1,1,1,1
"Ethiopia",39,308,39,308
"Finland",2,9,2,9
"France",43,12,43,12
"Georgia",76,31,76,31
"Germany",24,2,24,2
"Great Britain",51,2,51,2
"Greece",341,7,341,7
"Guatemala",11,11,11,11
"Guinea",2,0,2,0
"Guinea-Bissau",3,13,3,13
"Guyana",5,29,5,29
"Haiti",3,3,3,3
"Honduras",11,9,11,9
"Hong Kong",1,0,1,0
"Hungary",3,2,3,2
"Iceland",1,0,1,0
"India",4115,4929,4115,4929
"Indonesia",139,77,139,77
"Iran",90,380,90,380
"Iraq",10896,30124,10896,30124
"Ireland",70,2,70,2
"Israel",465,140,465,140
"Italy",40,0,40,0
"Ivory Coast",35,102,35,102
"Jamaica",1,0,1,0
"Japan",4,0,4,0
"Jordan",7,3,7,3
"Kazakhstan",14,16,14,16
"Kenya",236,495,236,495
"Kosovo",35,6,35,6
"Kuwait",1,0,1,0
"Kyrgyzstan",6,1,6,1
"Laos",1,0,1,0
"Latvia",1,0,1,0
"Lebanon",248,413,248,413
"Lesotho",2,0,2,0
"Liberia",2,12,2,12
"Libya",355,266,355,266
"Macedonia",15,7,15,7
"Madagascar",6,2,6,2
"Malaysia",18,4,18,4
"Maldives",6,0,6,0
"Mali",97,252,97,252
"Mauritania",11,16,11,16
"Mexico",57,119,57,119
"Moldova",3,2,3,2
"Montenegro",3,0,3,0
"Morocco",7,25,7,25
"Mozambique",19,44,19,44
"Myanmar",86,109,86,109
"Nepal",565,288,565,288
"Netherlands",5,7,5,7
"New Zealand",5,0,5,0
"Niger",29,126,29,126
"Nigeria",1412,4799,1412,4799
"Northern Ireland",324,10,324,10
"Norway",5,75,5,75
"Pakistan",7239,13377,7239,13377
"Panama",1,1,1,1
"Papua New Guinea",1,0,1,0
"Paraguay",18,15,18,15
"Peru",26,60,26,60
"Philippines",1881,1471,1881,1471
"Portugal",2,0,2,0
"Romania",1,0,1,0
"Russia",1160,1048,1160,1048
"Rwanda",22,28,22,28
"Saudi Arabia",21,20,21,20
"Senegal",26,67,26,67
"Serbia",11,3,11,3
"Serbia-Montenegro",2,0,2,0
"Somalia",1422,3272,1422,3272
"South Africa",20,8,20,8
"South Korea",1,0,1,0
"South Sudan",18,294,18,294
"Spain",101,8,101,8
"Sri Lanka",509,1977,509,1977
"Sudan",255,1635,255,1635
"Swaziland",4,0,4,0
"Sweden",9,1,9,1
"Switzerland",7,0,7,0
"Syria",500,2614,500,2614
"Taiwan",3,0,3,0
"Tajikistan",8,8,8,8
"Tanzania",9,8,9,8
"Thailand",2189,1664,2189,1664
"Timor-Leste",3,3,3,3
"Trinidad and Tobago",4,0,4,0
"Tunisia",36,43,36,43
"Turkey",416,499,416,499
"Uganda",17,121,17,121
"Ukraine",23,3,23,3
"United Arab Emirates",3,0,3,0
"United States",99,39,99,39
"Uzbekistan",2,3,2,3
"Venezuela",7,12,7,12
"West Bank and Gaza Strip",318,214,318,214
"Western Sahara",1,0,1,0
"Yemen",1023,2640,1023,2640
"Zimbabwe",13,9,13,9
